Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0x0351788F4e05FF3C40F601B5FA6ba4B6E44633E5,0,0,1,1,0,0,0
0xC1Eab99C6F2cd06ad1C60e5b642BE32C3c874613,178588,178588,0,0,0,1,0
0xeCedfe638f467D4b7429f2d945b2b68bc8bdEEd7,168940,168940,0,0,0,1,0
0x5AcBD3b267d1D5e95E26ED97C1856c6Bb4BE8f28,162457,162457,0,0,0,1,0
0x66237762E7e79cE1A2145e9fCF1eEa0E6Fcf13E0,160788,160788,0,0,0,1,0
0x8c9AeDBf42Be2480A0f6d1153d2323cD72d0065f,156160,156160,0,0,0,1,0
0x4A7998DF2Cd16815271bb6b7d3aE7EB30f50a73a,155560,155560,0,0,0,1,0
0xB4238F7C5B5E117CaB8a2AF7e414c8882316D37A,155289,155289,0,0,0,1,0
0x318F66a11f2eC1c1B9Dbe8EB4CdCaC59Bf1a75CC,152990,152990,0,0,0,1,0
0x84413eae165db6D3b01CF5d4049bBB609aaF36Bb,150100,150100,0,0,0,1,0
0xE162c3558d67c79C039Db752F0efE0C0E13cFf5F,146918,146918,0,0,0,1,0
0x600a2472cA484Cb32CCea76Eed83D8b37eE2C3Ae,146048,146048,0,0,0,1,0
0x32ec75EA9Bd4587DC59DE30806D1c0efdbD97F4d,145431,145431,0,0,0,1,0
0x4eb0bBF9d3019E39eB3e5a0657Ef20Db65879982,143636,143636,0,0,0,1,0
0xAe782a27021A169980f0583164e4C1644DfeD8fE,143530,143530,0,0,0,1,0
0x0e5222F40A40E3603895B55c54a93EDD2Da24529,143423,143423,0,0,0,1,0
0x9c948C1ED3cCF44D1eeA70519b2deC2AC9878Bf9,141992,141992,0,0,0,1,0
0x7846552f78C0e73405bE3CF07305071e47815ed3,140578,140578,0,0,0,1,0
0x87AFaA198117496bCe792B6A5DE3b33ba7cAc73f,139618,139618,0,0,0,1,0
0x776df3FCd71E6286cD133f37d0E184eE94Dd766C,138297,138297,0,0,0,1,0
0xC261924c9EB7b02EFC14027B707b7F2daf890D27,134490,134490,0,0,0,1,0
0x7ab1475ab635B6b28cb705B58B77CBFcb9f2B4ec,134222,134222,0,0,0,1,0
0x021D3D3a143c84256ce8e00db8813f7E8d6d56EB,133362,133362,0,0,0,1,0
0x68303a858D10f9cfF32373e3f5Ca6B2a13Af8c3c,132658,132658,0,0,0,1,0
0xc4979DCAaea6C93E2107C2AC97A7378472634A33,132616,132616,0,0,0,1,0
